0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-221.36581,-2.1077435,-0.004307845,-219.00615,-3.5166245,-0.7560597,67.74646,15.033009,10.266054,-1.436148,5.99712,3.3192616,3.000904,53.009014,18.249777,-113.91783,158.61551,69.04965,-451.9107,-33.604477,-22.755373
-235.15366,-3.9906723,-2.5811093,-216.78795,-5.4515796,-3.9251287,98.60005,15.135187,11.535955,-1.2558726,5.2568064,3.3484683,0.6190994,42.989166,18.207813,-106.14732,150.16287,79.135086,-493.05066,-32.8171,-21.9497
-211.0977,-2.5762737,1.2997015,-200.45613,-3.9703784,0.11443138,79.994606,15.432401,10.319996,-1.8074367,4.9933634,3.425623,3.6293225,37.9538,19.569792,-101.388985,144.07141,81.81026,-494.23053,-27.977638,-16.304455
-214.85042,-3.4078305,-1.837324,-209.35507,-4.377209,-3.1556635,63.457584,14.731428,10.954795,-1.4871435,6.3405538,3.589317,3.822987,61.25772,21.109938,-121.14012,164.61948,83.47599,-466.35678,-25.273655,-21.833748
-217.88347,-3.3226302,-0.40468317,-200.8299,-4.126698,-1.2149692,94.807236,13.385956,9.706066,-1.3094938,5.310499,3.0268457,0.9075427,45.29419,16.655907,-94.91568,134.19835,71.511604,-471.20422,-28.129007,-20.943563
-232.72626,-4.8665023,-3.4494,-200.81453,-6.428535,-4.4983177,114.836784,14.554375,10.167829,-1.1595472,5.7260485,3.454292,0.083227396,47.639732,21.171251,-96.93085,144.28555,77.623825,-496.09988,-31.509048,-20.682938
-208.1319,-3.3747084,-0.5747751,-201.43378,-5.2991896,-1.619019,72.895096,15.316645,10.016783,-1.5139153,5.7495074,2.8867242,2.9741373,46.98624,14.383818,-102.62566,150.23914,67.76513,-461.04544,-22.090221,-18.673035
-259.8031,-4.5111337,-1.7598484,-227.531,-5.9523993,-3.0992103,127.66602,15.569784,10.804506,-0.76132417,5.51052,3.2744734,-0.89855456,45.484547,17.854336,-98.32321,153.58968,80.41242,-510.04276,-31.003212,-18.932005
-211.34926,-4.5009894,-3.165798,-202.92859,-6.0711164,-4.0827856,70.340485,15.289414,9.577854,-1.940439,4.775702,1.9868981,5.4318295,35.391693,8.552637,-110.89412,136.41805,56.40578,-493.41888,-34.44812,-22.404903
-189.19313,-1.8674828,1.6216314,-187.411,-3.3234882,0.5694753,43.57305,15.121422,10.350472,-0.04741765,5.6044693,2.6508408,-1.2333724,44.568,13.682114,-99.84044,149.14728,76.06932,-303.69073,-28.243912,-20.399727
